id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,sub_mood
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,72,2020,euphoric
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020,dreamy
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,68,2010,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020,dreamy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81,2020,motivated
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29,2010,meditative
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41,2010,nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2020,melancholic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020,meditative
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,63,2020,euphoric
11,Back Porch Blues,Delta Mae,country,nostalgic,0.44,96,0.62,0.51,0.88,34,2010,nostalgic
12,Crown Heights Summer,Jay Reels,hip-hop,energetic,0.85,97,0.73,0.91,0.08,77,2020,euphoric
13,Velvet Undertow,Sable June,r&b,romantic,0.55,104,0.78,0.70,0.31,58,2020,sensual
14,Pulse Protocol,Circuit Null,edm,energetic,0.97,140,0.58,0.95,0.02,84,2020,motivated
15,Sonata in Grey,Elena Marsh,classical,peaceful,0.20,72,0.67,0.24,0.97,22,2010,meditative
16,Iron Cathedral,Frostwall,metal,angry,0.96,168,0.22,0.55,0.05,61,2010,aggressive
17,Harvest Moon Walk,The Wayfarers,folk,nostalgic,0.33,88,0.74,0.48,0.93,31,2000,nostalgic
18,Island Drift,Kaia Blue,reggae,chill,0.52,85,0.82,0.76,0.55,44,2010,carefree
19,Neon Sermon,GVRL,electronic,moody,0.70,122,0.38,0.82,0.11,52,2020,melancholic
20,Broken Compass,Rust & Rope,country,sad,0.30,74,0.28,0.39,0.90,27,2000,melancholic
